PubChem_ID,Structure_SMILES,QED,MolecularVolume,SurfaceArea,RadiusOfGyration,MolecularWeight,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,WienerIndex,ZagrebIndex,TPSA,BalabanIndex,Kappa1,Kappa2,Kappa3,Predicted_pIC50
45261028,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4cc5cc(NC(=O)c6ccc(N(CCCl)CCCl)cc6)ccc5n4C)cn3C)cn2C)cc1C(=O)NCCC(=N)N,0.035234651,868.3091179,989.571129,11.18329179,869.815,5.54287,7,11,17,6,22612,320,218.33,1.064633049,43.59489303,18.94707879,10.25309331,18.13986802
31116,CC(C)C1(NC(=O)C2C=C3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O,0.409633417,609.2951193,758.1647281,4.930565884,609.727,2.6269,3,6,5,8,6771,268,118.21,1.150763677,28.48153949,10.00506458,4.013556852,18.13806881
25132610,CCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,0.699391694,422.1754188,510.1148544,4.613128476,422.46,2.3474,1,4,4,4,2904,164,86.37,1.558531572,20.71186027,8.670771054,4.187353528,18.13740829
130293051,CC(C)C(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CC1C,0.637849689,466.2016336,542.1421237,3.951511219,466.513,2.2061,1,5,4,4,3644,182,95.48,1.600137792,23.40959071,9.244653598,4.374333694,18.13065416
5482136,CC1(C(=O)N2CCOCC2)COC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)OC1,0.654103035,452.1859835,534.8330964,5.214714552,452.486,3.1883,1,6,4,5,3331,180,89.57,1.38675066,21.69244722,9.010606053,4.3911099,18.12863877
5329108,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCOCC1,0.658222502,412.1910689,503.6664474,5.635662405,412.465,2.32534,3,4,5,4,2722,160,86.46,1.510561384,20.30877451,8.411985132,4.010806448,18.12666298
5330278,Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,0.581579007,482.1429716,526.9780383,5.625273801,483.414,4.13072,2,7,4,5,2857,170,75.08,1.470874438,20.45254388,8.589138612,3.941419904,18.12664869
9549184,COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,0.283438456,621.3175861,768.7623403,6.984142989,621.746,4.4759,2,10,6,7,8753,256,136.43,1.126034228,29.72505998,12.08645845,5.317699628,18.12522279
10259285,N=C(N)c1ccc(C(=O)NCC2CCN(C(=O)OC3CCCC(OC(=O)N4CCC(CNC(=O)c5ccc(C(=N)N)cc5)CC4)CCC3)CC2)cc1,0.154310418,716.4009814,923.4875962,9.440309756,716.884,4.20314,6,8,10,5,16044,264,217.02,0.931895003,38.09935939,18.38020255,10.92908758,18.12521732
5330284,Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cn3)ncc12,0.586054905,483.1382206,523.9854599,4.997850336,484.402,3.52572,2,8,4,5,2857,170,87.97,1.470874438,20.38644034,8.547345697,3.918008987,18.12407263
