PubChem_CID,Structure_SMILES,predicted_pIC50
57345500,CCC(NCCCCC(Nc1cc(C)c(F)c(C)c1)C(=O)NO)c1ccc(F)cc1,18.780972
54688265,O=C(NCc1ccc(F)cc1)c1nc2n(c(=O)c1O)CCCC2,18.779942
10960172,COc1ccc(C2=NN(CCc3ccccc3)C(=O)C3CCCCC23)cc1OC,18.777859
19747868,COc1ccc(C2=NN(Cc3ccccc3)C(=O)C3CCCCC23)cc1OC,18.777859
183797,N=C(N)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,18.776516
44409257,CNC(=O)C(Cc1ccc2ccccc2c1)NC(=O)C(CCCN=C(N)N)NC(=O)C(Cc1ccccc1)NC(=O)C1Cc2ccccc2CN1,18.776312
146371228,Cc1cc(CNC(=O)c2cc(CNC3=NCCC3)cc(-c3ccc(F)cc3C(F)(F)F)c2)ccc1Cl,18.775223
24764596,Cc1cc(N)nc(CC2CNCC2NCCNCCc2cccc(F)c2)c1,18.771523
10024326,CC12CCC(=O)C=C1NCC1C2CCC2(C)C(C(=O)NCc3ccccc3)CCC12,18.770977
91668541,CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(N)=NC3CCS(=O)(=O)CC3)cc2c1=O,18.76831
146011863,Cc1cc(NC2NN(C3(CC#N)CCCCC3F)C3CCNC(=O)C23)ccc1C(=O)N1CCC(F)(F)CC1,18.765194
121294188,CCC#CC(=O)NC1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,18.764433
11320226,COC1C=CC=C(C)C(=O)NC2=CC(=O)C(NC(=O)c3ccc(CN4CCN(C)CC4)cc3)=C(CC(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O)C2=O,18.761538
44567669,CC(=O)Nc1ccc(N2CCN(CCCCc3c[nH]c4ccc(C(N)=O)cc34)CC2)cc1,18.76136
11813203,CCCC(CCC)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,18.758507
9871765,COC(=O)NC(C(=O)N1CCCC1C(=O)NCc1ccc(C(=N)N)s1)C(c1ccccc1)c1ccccc1,18.74947
19747883,CCOc1ccc(C2=NN(Cc3ccccc3)C(=O)C3CCCCC23)cc1OCC,18.74604
86291964,Cn1nc(C(C)(C)NC(=O)C2C3CNCC32)c2cccc(F)c21,18.745636
86292155,Cn1nc(C(C)(C)NC(=O)C2C3CNCC32)c2ccc(F)cc21,18.745636
9830049,NC(N)=Nc1ccc(C(=O)NCCCC2C(=O)N(CC(=O)O)CCN2C(=O)CNC(=O)c2ccc(N=C(N)N)cc2)cc1,18.74408
90055863,CC1CC(c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)CC(N)C1S(=O)(=O)CCO,18.737741
1330,CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(CCC)c1=O,18.734392
5330775,Cn1ccc2ccc3c4[nH]c5c(CCN6CCC(C(N)=O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O,18.732328
11058335,COc1ccc(C2=NN(Cc3ccccc3O)C(=O)C3CCCCC23)cc1OC,18.732265
68245749,CCCOC(=O)c1cccc(-c2cc(C(=O)Nc3ccncc3F)ccc2CN)c1,18.719893
10390536,CC12CCC(=O)C=C1NCC1C2CCC2(C)C(C(=O)NC(c3ccccc3)c3ccccc3)CCC12,18.718163
10482892,CC12CCC(=O)C=C1NCC1C2CCC2(C)C(C(=O)NC(c3ccccc3)(c3ccccc3)c3ccccc3)CCC12,18.718163
45047,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,18.710148
54693559,Cc1nc(C)c2c(O)cc(=O)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2n1,18.706522
24772013,O=C1NCC2c3c(cccc31)CCN2C(=O)CCc1cnccn1,18.700687
1908,Cn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(C)c1=O,18.700644
5489450,CCCCC(NC(=O)CCc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N(Cc1c[nH]c2ccccc12)C(=O)NC(CCCC)C(=O)NC(=O)c1ccccc1CC(C)NC(=O)C(CC(=O)O)NC,18.70024
448763,CNC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NCC1CCC(N)CC1,18.700203
52942165,Cc1cc(NC(CCCCNCc2ccc([N+](=O)[O-])cc2)C(=O)NO)cc(C)c1F,18.700142
5330696,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2cccc3c2n1CC(CO)CC3,18.697823
9912381,CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1,18.69677
145949176,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,18.691612
